method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,requirements_total,requirements_with_ground_truth,ground_truth_links_total,correctly_retrieved_links,requirement_hit_at_k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,20,30,30,353,46,0.7333333333333333,0.07666666666666667,0.4751872036516359,0.12064604939411112,0.09885207114383646,0.28022283272283277
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_all_resolved,20,30,30,157,43,0.7,0.07166666666666667,0.5234931009440813,0.1144852584723075,0.15419003858342092,0.18550925925925923
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_functional_resolved,20,30,30,150,39,0.6666666666666666,0.065,0.5227647058823529,0.10548435787566222,0.14868288370126603,0.1763425925925926
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_linked_resolved,20,30,27,85,37,0.6666666666666666,0.06851851851851852,0.5492270982467061,0.11406466800991762,0.1401553038263278,0.16213991769547323
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_all,30,30,27,196,52,0.8888888888888888,0.06419753086419754,0.8143264143264143,0.11140770576684428,0.1614786179888444,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_orphan,30,30,7,13,7,1.0,0.03333333333333333,1.0,0.06451612903225806,0.17582417582417584,0.2087912087912088
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,actions_with_linked_widget,30,30,27,183,52,0.8888888888888888,0.06419753086419754,0.8061253561253561,0.11136277914566667,0.1639338787774385,0.3868372005626907
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_linked_widgets,30,30,27,281,61,0.8518518518518519,0.07530864197530864,0.607398235176013,0.12605266005596855,0.08825485937616888,0.27742966909633576
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,30,30,30,353,63,0.8333333333333334,0.07,0.5728779667371359,0.11638333062179569,0.10568809118599153,0.2841694608073918
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_all_resolved,30,30,30,157,51,0.8,0.056666666666666664,0.6046218487394959,0.09362961030638793,0.15845752136514976,0.18998883765188113
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_functional_resolved,30,30,30,150,47,0.7666666666666667,0.05222222222222222,0.6042885154061625,0.08718209308887173,0.15310640049855734,0.18082217098521447
VSM,IR,Strict,Focus,Gemma3,Focus-Gemma3,widgets_linked_resolved,30,30,27,85,40,0.7777777777777778,0.04938271604938271,0.6603382093578172,0.08724752133011113,0.1451326131514632,0.16711722702060866
