direction,method,method_family,filter_variant,dataset,source_model,scenario,evaluation,k,precision_at_k,recall_at_k,f1_at_k,map_at_k,mrr_at_k,hit_at_k
forward,Qwen3 0.6B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.13333333333333333,0.40428300869963335,0.18811290279465104,0.10041534391534392,0.4361111111111111,0.6666666666666666
forward,Qwen3 0.6B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.09166666666666667,0.25666717541717543,0.11408915538125203,0.08923954046639232,0.280081569664903,0.5833333333333334
forward,Qwen3 0.6B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.07500000000000001,0.2819453463203463,0.1101461392488673,0.06708884479717812,0.21657848324514992,0.4722222222222222
forward,Qwen3 4B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.2,0.5116572547822548,0.2648413912083142,0.1861878306878307,0.5847222222222223,0.8333333333333334
forward,Qwen3 4B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.13,0.4149356181107927,0.18357804102301883,0.13303681657848324,0.5412037037037037,0.6666666666666666
forward,Qwen3 4B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.125,0.3151365995115995,0.1526984588946476,0.14141681363903585,0.3300705467372134,0.6388888888888888
forward,Qwen3 4B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.12777777777777777,0.3513928378266613,0.1587667335865827,0.10542162698412698,0.34135802469135806,0.6388888888888888
forward,Qwen3 4B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.17666666666666667,0.48479828042328044,0.24085197321889623,0.16308366402116403,0.5739285714285713,0.8
forward,Qwen3 4B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.12666666666666668,0.4116022847774594,0.17938756483254265,0.1296955467372134,0.5241666666666667,0.6666666666666666
forward,Qwen3 4B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1111111111111111,0.26235882173382175,0.12976205898345186,0.10264531893004115,0.2774911816578483,0.6111111111111112
forward,Qwen3 4B,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.08333333333333333,0.2320851778940014,0.10023699200290065,0.05485559964726631,0.23194444444444443,0.4722222222222222
forward,Jina v3,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.16,0.3921204721204721,0.20654921222787764,0.15643915343915343,0.5575396825396824,0.8
forward,Jina v3,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.14333333333333334,0.384729125257241,0.18766700776303982,0.12891380070546737,0.5366666666666667,0.7333333333333333
forward,Jina v3,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.11944444444444444,0.3456188102021435,0.1592281964680445,0.10876469723691945,0.2851741622574956,0.6111111111111112
forward,Jina v3,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.14722222222222223,0.36688146140352024,0.18449672410648257,0.15522431657848323,0.41585097001763666,0.6944444444444444
forward,Jina v3,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.15666666666666668,0.3649135124135124,0.1969770882563432,0.14656128747795413,0.5198544973544973,0.7333333333333333
forward,Jina v3,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.13,0.3644157349438507,0.1724439524226943,0.12208862433862433,0.48166666666666663,0.6666666666666666
forward,Jina v3,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.1138888888888889,0.2834308438475105,0.14154698349183925,0.11236876592200666,0.301929012345679,0.6111111111111112
forward,Jina v3,CE,Relaxed,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.10277777777777779,0.24367106613430142,0.11782147864853271,0.0903505291005291,0.29250440917107584,0.5555555555555556
forward,Stella 1.5B,CE,Strict,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.17666666666666667,0.4783483414733415,0.2329928010692582,0.1711736111111111,0.5117460317460317,0.8333333333333334
forward,Stella 1.5B,CE,Strict,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.15333333333333335,0.47842792645604226,0.21233627877901412,0.12904387125220457,0.5263888888888889,0.7333333333333333
forward,Stella 1.5B,CE,Strict,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.15555555555555556,0.45453958078958073,0.20135291362444593,0.182336860670194,0.4388337742504409,0.7777777777777778
forward,Stella 1.5B,CE,Strict,LLMReq,Gemma3,LLMReq-Gemma3,combined_actions_and_widgets,10,0.125,0.3765484667721839,0.16621386557630957,0.1508856922398589,0.4738756613756614,0.6944444444444444
forward,Stella 1.5B,CE,Relaxed,Focus,GPT5,Focus-GPT5,combined_actions_and_widgets,10,0.18666666666666665,0.46480133292633297,0.2440358584873632,0.16333068783068783,0.4583730158730159,0.8333333333333334
forward,Stella 1.5B,CE,Relaxed,Focus,Gemma3,Focus-Gemma3,combined_actions_and_widgets,10,0.16,0.49500744715321,0.2240439373538358,0.1295542328042328,0.49972222222222223,0.7333333333333333
forward,Stella 1.5B,CE,Relaxed,LLMReq,GPT5,LLMReq-GPT5,combined_actions_and_widgets,10,0.14444444444444446,0.40356023606023605,0.17993761747916703,0.15273974867724868,0.4213955026455027,0.7222222222222222
